# GECK Function Index - Auto-generated from GECK wiki XML
# Format: Name | Origin | Signature | Summary | Categories
# Search this file with grep to find relevant functions.
# For full details, grep the original XML for the function name.
#
# Origins: GECK1=base game, NVSE=NVSE plugin, JIP=JIP LN NVSE, JG=JohnnyGuitar,
#          SO=ShowOff NVSE, kNVSE=kNVSE, NX=NX, Hot Reload, etc.

"componentPath<nowiki>|templateName|</nowiki>''altTileName''" | JIP | "componentPath<nowiki>|templateName|</nowiki>''altTileName''"("componentPath<nowiki>|templateName|</nowiki>''altTileName''":, formatVars(up to 20):?) -> int | Creates a new UI tile from a pre-defined Template, returning 1 on success. Function argument uses the following format:<pre> "componentPath|templateName|altTileName(optional)"</pre> | Functions (JIP); UI Functions (JIP); UI Functions; Functions_(ButcherPete FOSE); Functions (FO3)
"keyword:string" | JIP | "keyword:string"("keyword:string":) | Returns an array_var of forms associated with a specified keyword. | Functions (JIP); Keyword Functions (JIP); Array Functions
FreePlayer | JIP | FreePlayer() (alias: GoodbyeWorldspace) | Calls the heap manager to deallocate the player character, bringing the game to its inevitable conclusion. | Functions_(JIP); Troll Functions (JIP); Player Functions; Functions_(Command Extender); Functions (FO3)
FreezeAmmoRegen | ShowOff | FreezeAmmoRegen(toggle:1/0?) -> wasAmmoRegenFrozen:0/1 | Toggles if ammo regeneration should be frozen, preventing ammo from being regenerated. | Functions (ShowOff NVSE); Time Functions; Weapon Functions
FreezeTime | JIP | FreezeTime(toggle:1/0?) -> timeFrozen:0/1 | Toggles a special game mode, where: *Game-time ceases to advance. *'All' animations and physics are suspended, <u>except</u> for the player character. The following effects were observed while this mode is enabled: *Game-time <i>does</i> advance when sleeping/waiting, or when fast-travelling. *Actor Effects/ingestibles with a duration are suspended. *Hardcore needs are not incremented. *Quest-/Object-type scripts continue to run as normal; Effect-type script, however, are suspended. *Weapons with an ammo regen rate will still have their ammo regenerate. See FreezeAmmoRegen to counter this. *Neither lighting settings not IMODs are updated when traversing between cells. 'Additional effects are likely, pending further testing.' | Functions (JIP); Miscellaneous Functions (JIP); Functions_(Command Extender); Time Functions; Functions (FO3)
FriendDispositionBoost | GECK1 | [ActorRefID].FriendDispositionBoost() | 'FriendDispositionBoost' function will mod the disposition of the actor so it will reach a friend level with the player. It is called on a Reference and has no parameters. | Functions (GECK); Functions (FO3)
fsin | LU | fsin(angle:float) -> float | Returns an approximation (accurate to at least 6 decimal digits) of the 'sine' of the specified angle (expressed in degrees). *This function is 'significantly faster' than either sin or dSin. | Math Functions; Functions (JIP); Math Functions (JIP)
fsqrt | LU | fsqrt(inputValue:float) -> outputValue:float | Very fast floating-point square-root calculation. | Math_Functions; Functions_(JIP); Math_Functions_(JIP)
ftan | JIP | ftan(angle:float) -> float | Returns an approximation (accurate to at least 6 decimal digits) of the 'tangent' of the specified angle (expressed in degrees). *This function is 'significantly faster' than either tan or dTan. | Math Functions; Functions (JIP); Math Functions (JIP)
GameGetSecondsPassed | JohnnyGuitar | GameGetSecondsPassed() -> Float (alias: GGetSecPass) | Returns the time elapsed since the game's last frame. | Functions (JohnnyGuitar NVSE); Time Functions; Condition Functions
GenericAddForm | NVSE | |arguments =.GenericAddForm(ListCode:int, Target:object, ToAdd:form, Index:int) -> none | Adds a form to an embedded list of forms associated with an object at a given index; passing <b>-2</b> will add to the end of the list. | Functions_(NVSE)
GenericDeleteForm | NVSE | |arguments =.GenericDeleteForm(ListCode:int, Target:object, Index:int) -> RemovedForm:ref | Deletes a form within an embedded list of forms associated with an object at a given index. Returns the removed form. | Functions_(NVSE)
GenericGetForm | NVSE | |arguments =.GenericGetForm(ListCode:int, Target:object, Index:int) -> form | Returns the form within an embedded list of forms associated with an object at a given index. | Functions_(NVSE)
GenericReplaceForm | NVSE | |arguments =.GenericReplaceForm(ListCode:int, Target:object, New:form, Index:int) -> OldForm:ref | Replaces a form within an embedded list of forms associated with an object at a given index with a new one. Returns the replaced form. | Functions_(NVSE)
GetActionRef | GECK1 | Activator.GetActionRef() -> ref (alias: GetAR) | Returns the reference currently interacting with the scripted object. It will only return a value during the frame after the object has been interacted with. This means it is generally only useful inside an OnActivate, OnTriggerEnter, OnTriggerLeave or OnTrigger block. If more than one object is interacting with the object (for instance, several objects colliding with the same trigger zone), only the most recently interacting object will be returned by this function. | Functions (GECK); Reference Variable Functions; Functions (FO3)
GetActivatorPrompt | LU | reference.GetActivatorPrompt(activator:form?) -> prompt:string_var | Returns the activation prompt of the specified Activator form. | Functions (JIP); Activator Functions (JIP)
GetActivatorRadioStation | LU | reference.GetActivatorRadioStation(activator:form?) -> radioStation:ref | Returns the radio station (Talking Activator) attached to the specified Activator form. | Functions (JIP); Activator Functions (JIP); Radio_Functions_(JIP); Radio_Functions
GetActivatorSoundActivate | LU | reference.GetActivatorSoundActivate(activator:form?) -> activateSound:ref | Returns the <i>Activate</i> Sound of the specified Activator form. | Functions (JIP); Activator Functions (JIP); Sound Functions
GetActivatorSoundLooping | LU | reference.GetActivatorSoundLooping(activator:form?) -> loopingSound:ref | Returns the <i>Looping</i> Sound of the specified Activator form. | Functions (JIP); Activator Functions (JIP); Sound Functions
GetActivatorWaterType | LU | reference.GetActivatorWaterType(activatorOrPlaceableWater:baseForm?) -> waterType:baseForm | Returns the 'Water Type' of the specified Activator or PlaceableWater BaseForm. If a reference is passed, its base form is used. | Functions (JIP); Activator Functions (JIP); Water Functions (JIP)
GetActiveAnims | kNVSE | actor.GetActiveAnims(bIsFirstPerson:0/1?) -> array | Returns an array of strings containing the paths of all currently active animation sequences on the specified actor. | Functions (kNVSE); Animation Functions; Array Functions
GetActiveEffects | JIP | reference.GetActiveEffects(filter:int?) -> activeEffects:array_var | Returns an 'array_var' containing all the effects currently active on the calling actor. The optional <i>filter</i> parameter may be used for specifying which types of effects are returned. | Game Effect Functions; Functions_(JIP); Effect Functions (JIP); Array Functions
GetActiveEffectsInfo | JIPPPLN | reference.GetActiveEffectsInfo(effectFilter:int/ref?, tempFilter:bool?) -> activeEffects:array_var | Returns a two-dimensional 'array_var' containing detailed information about an actor’s current active effects. The array is specifically designed to work with SetActiveEffectsInfo. | Functions_(JIP PP LN); Effect Functions (JIP); Game Effect Functions; Array Functions
GetActiveFactions | NVSE | actor.GetActiveFactions(Target:actor?) -> array | Returns an array containing all factions to which the specified or calling actor belongs. | Faction Functions; Functions_(NVSE); Array Functions
GetActiveIMODs | JIP | GetActiveIMODs() -> activeIMODs:array_var | Returns an 'array_var' containing all currently active ImageSpace Modifiers. | Functions (JIP); Imagespace Functions (JIP); Array Functions; Imagespace Functions
GetActiveMenuMode | JIP | GetActiveMenuMode() -> menuCode:int | Returns the menu code of the top active menu mode currently receiving input. These are the same codes used by the MenuMode function. | Functions_(JIP); UI Functions (JIP); UI Functions; Functions (ButcherPete FOSE); Functions (FO3)
GetActiveObjectives | JIP | GetActiveObjectives(:) -> array_var | Returns an array_var of active quest objectives. | Quest Functions; Functions (JIP); Quest Functions (JIP); Array Functions
GetActiveQuest | LU | GetActiveQuest() -> quest:ref | Returns the player's active quest. | Quest Functions; Functions_(JIP); Quest_Functions_(JIP)
GetActiveRanks | NVSE | actor.GetActiveRanks(Target:Actor?) -> array | Returns an array containing the current (active) ranks for each faction to which the the calling reference belongs. The order of ranks corresponds to the factions returned by GetActiveFactions. Note that in Fallout: New Vegas, ranks are largely unused are usually zero. | Faction Functions; Actor Functions; Functions_(NVSE); Array Functions
GetActiveUIComponentFullName | JIP | GetActiveUIComponentFullName() -> name:string_var | Like GetActiveUIComponentName, returns the name of the menu element currently highlighted by the mouse cursor, if any. However, the returned name is fully qualified with the names of the element's parents in a form suitable to pass to commands like GetUIFloat. | Functions_(JIP); UI Functions (JIP); UI Functions
GetActiveUIComponentID | JIP | GetActiveUIComponentID() -> id:int | Returns the integer ID of the currently highlighted menu element, as defined by that element's <id> trait in the menu XML file. | Functions_(JIP); UI Functions (JIP); UI Functions
GetActiveUIComponentName | JIP | GetActiveUIComponentName() -> name:string_var | Returns the name of the menu element currently highlighted by the mouse cursor, as defined in the menu XML file. | Functions_(JIP); UI Functions (JIP); UI Functions
GetActorAlpha | JIP | reference.GetActorAlpha() -> alpha:float | Returns the calling actor's current <i>Alpha</i> as a floating point number ranging from 0.0 to 1.0, with 0.0 corresponding to fully-transparent and 1.0 to fully-opaque. | Functions_(JIP); Actor Functions (JIP); Actor_Functions
GetActorCrimePlayerEnemy | GECK1 | [Actor].GetActorCrimePlayerEnemy() | GetActorCrimePlayerEnemy returns a 1 if the targeted actor is an enemy of the player due to crimes committed against that actor. Note that if the player has not committed any crimes against this actor, the function will always return 0 (even if the actor's factions have been flagged to treat the player as an enemy due to crime -- see GetActorFactionPlayerEnemy). | Functions (GECK); Crime Functions; Condition Functions; Actor Functions; Functions (FO3)
GetActorDiveBreath | JIP | reference.GetActorDiveBreath() -> breathSeconds:float | If the calling actor is underwater, returns the time (in seconds) remaining until they run out of breath (and begin drowning). | Functions_(JIP); Actor Functions (JIP); Actor_Functions; Time Functions
GetActorFactionPlayerEnemy | GECK1 | ActorRefr.GetActorFactionPlayerEnemy() -> bool | Returns 1 (true) if the player has been flagged as an enemy of any of the targeted actor's factions due to crime, 0 (false) otherwise. | Functions (GECK); Crime Functions; Condition Functions; Actor Functions; Faction Functions; Functions (FO3)
GetActorGravityMult | JIP | reference.GetActorGravityMult() -> gravityMult:float | Returns the calling actor's gravity multiplier (1.0 by default). This multiplier affects drop acceleration when falling. | Functions (JIP); Actor Functions (JIP); Movement Functions; Functions (ButcherPete FOSE); Functions (FO3)
GetActorLeveledList | JIP | reference.GetActorLeveledList() -> srcLvlList:form | Returns the 'Leveled List' form from which the calling actor reference was spawned. If not a leveled actor, the function returns 0. | Functions (JIP); Actor Functions (JIP); Actor Functions
GetActorLevelingData | JIP | reference.GetActorLevelingData(dataType:int, baseForm:ref?) -> dataValue:float | Returns the specified leveling data value of an actor. The value returned is determined by <i>dataType</i>: <pre>0&#09;Fixed Level/Level Mult. 1&#09;Calc. Min. 2&#09;Calc. Max.</pre> | Functions_(JIP); Actor Functions (JIP); Actor_Functions
GetActorLightAmount | JIP | reference.GetActorLightAmount() -> lightAmount:float | Returns a float describing the amount of light falling on the calling actor. | Functions_(JIP); Actor Functions (JIP); Actor_Functions; Condition_Functions; Detection Functions
GetActorMovementFlags | JIP | reference.GetActorMovementFlags() -> movementFlags:int | Returns a bitmask of the calling actor's current movement flags. ==Actor Movement Flags== <pre>1&#09;Forward 2&#09;Backward 4&#09;Left 8&#09;Right 16&#09;Turn Left 32&#09;Turn Right 256&#09;Walking 512&#09;Running 1024&#09;Sneaking 2048&#09;Swimming 4096&#09;Jumping 8192&#09;Flying 16384&#09;Falling 32768&#09;Sliding</pre> | Functions (JIP); Actor Functions (JIP); Actor Functions; Flag Functions; Bit Functions
GetActorProcessingLevel | JIP | reference.GetActorProcessingLevel() -> processingLvl:int | Returns the current AI/script processing-level of the calling actor. The returned value ranges from 0 to 3: *'0 (High):' The actor is processed every frame. *'1 (Mid-High):' The actor is processed every ~18 seconds. *'2 (Mid-Low):' Unknown at this time. *'3 (Low):' The actor is processed every ~120 seconds. If the actor's Base Process isn't loaded, which can occur if it is disabled, returns -1. | Functions_(JIP); Actor Functions (JIP); Actor_Functions
GetActorsByProcessingLevel | JIP | GetActorsByProcessingLevel(processingLvl:int) -> actors:array_var | Returns an 'array_var' containing all the actors in the game that are currently in the specified script/AI processing-level. | Functions_(JIP); Actor Functions (JIP); Actor_Functions; Array Functions
GetActorTemplate | JIP | reference.GetActorTemplate(baseForm:ref?) -> baseForm:ref | Returns an actor's template. | Functions_(JIP); Actor Functions (JIP); Actor_Functions
GetActorTemplateFlag | LU | reference.GetActorTemplateFlag(flagID:int, actorBase:form?) -> flagSet:1/0 | Returns the state of a 'Template Data' flag in an actor base form. | Functions (JIP); Actor Functions (JIP); Actor Functions; Flag Functions
GetActorTiltAngle | JIP | actor.GetActorTiltAngle(axis:X/Y) -> angle:float | Returns the calling actor's 'tilt angle' on the specified 'Axis'. *'X' - Front/Back tilt. *'Y' - Left/Right tilt. | Functions (JIP); Actor Functions (JIP); Actor Functions; Movement Functions
GetActorUnarmedEffect | JIP | reference.GetActorUnarmedEffect(baseForm:ref?) -> effect:ref | Returns the actor's <i>Unarmed Attack</i> effect. | Functions_(JIP); Effect Functions (JIP)
GetActorValue | GECK1 | [Actor].GetActorValue(actorValue:statName) -> int (alias: GetAV) | Returns the current, modified value of the specified stat. GetActorValue can use any stat available to the player or actor (NPCs and creatures). | Functions (GECK); Actor Value Functions; Condition Functions; Functions (FO3)
GetActorValueAlt | JohnnyGuitar | [Actor].GetActorValueAlt(actorValueCode:int) -> int (alias: GetAVAlt) | Returns the current, modified value of the specified stat. GetActorValueAlt uses a numeric Actor Value code instead of a stat name. | Functions (JohnnyGuitar NVSE); Actor Value Functions
GetActorValueDamage | ShowOff | ActorRef.GetActorValueDamage(actorValue:statName) -> float (alias: GetAVDamage) | Returns the amount of damage the calling actor's Actor Value has endured. This is returned as a positive value, though it is applied as a negative modifier in-game. | Actor Value Functions; Condition Functions; Functions (ShowOff NVSE)
GetActorValueModifier | JIP | reference.GetActorValueModifier(actorValue:StatName, typeFilter:int?) -> avMod:float (alias: GetAVMod) | Returns the net modifier of the specified Actor Value, gained from 'Effects' (of any type) currently applied on the calling actor. The 2nd argument '<i>typeFilter</i>' is optional, and may be used to instruct the function to return: *Only the 'permanent' modifier (1) *Only the 'temporary' modifier (2) *Both (3; default) | Functions (JIP); Actor Functions (JIP); Effect Functions (JIP); Game Effect Functions; Actor Functions; Actor Value Functions
GetActorValueName | ShowOff | GetActorValueName(actorValue:statName) -> string (alias: GetAVName) | Returns the name string associated to an actor value. This is useful to convert an actor value code into its actor value name. | Functions (ShowOff NVSE); Actor Value Functions
GetActorVelocity | JIP | reference.GetActorVelocity(axis:X/Y/Z?) -> velocity:float | Returns the calling actor's current 'Velocity' on the (optional) specified 'Axis'. If no axis is specified, the total, absolute velocity (product of all three axes) is returned. | Functions (JIP); Actor Functions (JIP); Actor Functions; Movement Functions; Functions (ButcherPete FOSE); Functions (FO3)
GetActorVelocityAlt | JIP | reference.GetActorVelocityAlt(resX:ScriptVar, resY:ScriptVar, resZ:ScriptVar, getLocal:0/1?) -> success:0/1 | Returns the calling actor's current linear velocity on each of the 3 X/Y/Z 'global axes'. The result XYZ are placed into the 3 specified 'Script Variables'. *If the 'optional' 4th argument, '<i>getLocal</i>', is non-zero, the result velocities are relative to the actor's 'local axes'. | Functions (JIP); Actor Functions (JIP); Actor Functions; Movement Functions
GetActorVoiceType | JIP | reference.GetActorVoiceType(baseForm:ref?) -> voiceType:ref | Returns an actor's <i>Voice Type</i>. | Functions_(JIP); Actor Functions (JIP); Actor_Functions
GetAddedItemRefShowOff | ShowOff | GetAddedItemRefShowOff() -> reference (alias: GetAddedItemRefSO) | When called inside a handler UDF for ShowOff:OnAdd, returns either a world item reference, or an Inventory Reference. To tell if it's an inventory ref or not, either use IsInventoryRef, or check if rWorldItem (argument provided by the event handler) is null. | Functions (ShowOff NVSE)
GetAddictionChance | JIP | GetAddictionChance(ingestible:ref) -> chance:float | Returns the <i>Addiction Chance</i> of the specified <i>Ingestible</i> item. | Functions_(JIP); Effect Functions (JIP); Game Effect Functions
GetAddictionEffect | JIP | GetAddictionEffect(ingestible:ref) -> actorEffect:ref | Returns the <i>Addiction</i> effect of the specified <i>Ingestible</i> item. | Functions_(JIP); Effect Functions (JIP); Game Effect Functions
GetAgeClass | NVSE | reference.GetAgeClass(actor:reference?) -> int | Returns the NPCs age class. | Functions_(NVSE); Condition Functions
GetAlarmed | GECK1 | [Actor].GetAlarmed() -> bool | Returns 1 ("true") if the actor is alarmed. | Functions (GECK); Crime Functions; Condition Functions; Actor Functions; Functions (FO3)
GetAllGameRadios | JohnnyGuitar | GetAllGameRadios() -> array_var | Returns an array_var of all radio talking activator references in the base game and installed mods. | Functions (JohnnyGuitar NVSE); Radio Functions; Array Functions
GetAllItemRefs | JIP | reference.GetAllItemRefs(typeCode:int?, noNonPlayable:0/1?, noQuestItems:0/1?, noEquipped:0/1?) -> items:array_var | Returns an 'array_var' containing 'Inventory References' of all the items in the calling reference's inventory. Four optional parameters may be passed for filtering the result: 'typeCode' - Only include inventory references of items of this type (type-codes). Passing 0 will include items of ANY type. 'noNonPlayable' - <u>Do not</u> include items that are non-playable (only applicable to clothing, weapons and ammo). 'noQuestItems' - <u>Do not</u> include quest items. 'noEquipped' - <u>Do not</u> include inventory references that are currently equipped by the calling reference. | Functions_(JIP); Inventory Functions (JIP); Array Functions; Inventory Functions; Inventory Reference Functions
GetAllItems | JIP | reference.GetAllItems(typeCode:int?, noNonPlayable:0/1?, noQuestItems:0/1?, noEquipped:0/1?) -> items:array_var | Returns an 'array_var' containing the Base Forms of all the items in the calling reference's inventory. Four optional parameters may be passed for filtering the result: 'typeCode' - Only include items of this type (a full list of type-codes can be found here). Passing 0 will include items of ANY type. 'noNonPlayable' - <u>Do not</u> include items that are non-playable (only applicable to clothing, weapons and ammo). 'noQuestItems' - <u>Do not</u> include quest items. 'noEquipped' - <u>Do not</u> include items that are currently equipped by the calling reference. | Functions_(JIP); Inventory Functions (JIP); Array Functions
GetAllModLocalData | NVSE | |arguments =.GetAllModLocalData() -> stringmap | Returns a String Map consisting of all of the key-value entries for the Mod Local Data associated with the mod to which the calling script belongs. This is a copy of the local data, so modifying the array contents will not modify the stored data. | Functions_(NVSE); Array Functions
GetAllPerks | JIP | actorRef.GetAllPerks(forTeammates:0/1?, includeHidden:0/1?) -> allPerks:array_var | Returns an 'array_var' containing all 'perks' the calling 'Actor' reference has. *When called on 'the player', depending on the function's 1st argument, '<i>forTeammates</i>', the result array will contain either the player's own perks, or the player's perks for active teammates. *When called on any other actor, the result depends on whether the 'uNPCPerks' optional JIP LN feature is enabled or not. **If enabled, the array will contain all the perks owned by the actor (both startup and script-added perks). If a teammate and the argument is non-zero, the player's perks for teammates will also be included. **If disabled, the function will return a non-empty array if and only if the actor is a teammate <u>and</u> the argument is non-zero. *If the 2nd argument, '<i>includeHidden</i>', is non-zero, all applicable hidden perks will be included in the result, as well. | Functions (JIP); Actor Functions (JIP); Actor Functions; Perk Functions; Array Functions; Perk Functions (JIP)
GetAltControl | FOSE1 | GetAltControl(controlCode:int) -> int | Returns the mouse button assigned to a control. | Functions_(FOSE); Functions_(NVSE); Input Functions; Functions (FO3)
GetAltPerkRank | NVSE | PlayerREF.GetAltPerkRank(Target:perk) -> int | Returns the rank of the specified companion Perk. This function may only be called on the player. Returns <b>-1</b> if the perk argument or calling reference is null. | Perk Functions; Functions_(NVSE); Condition Functions; Actor Functions
GetAlwaysRun | JIP | GetAlwaysRun() -> alwaysRun:0/1 | Returns whether 'Always Run' is currently toggled. | Functions_(JIP); Miscellaneous Functions (JIP); Condition_Functions; Functions_(Command Extender); Functions (FO3)
GetAmmoConsumedPercent | NVSE | ammoReference.GetAmmoConsumedPercent(ammo:baseform?) -> float | Returns the percentage chance of providing an empty case item on use for the specified ammo or calling reference of an ammo item. | Functions_(NVSE); Weapon Functions; Condition Functions; Ammo Functions
GetAmmoEffectTraitNumeric | JIP | GetAmmoEffectTraitNumeric(ammoEffect:ref, traitID:int) -> traitValue:float | Returns the value of an ammo effect's numeric trait (determined by <i>traitID</i>). | Functions_(JIP); Ammo Effect Functions (JIP); Ammo Functions; Weapon Functions
GetAmmoName | ShowOff | ammoRefr.GetAmmoName(nameTypeToGet:int, form:baseform) | Gets the name of the Ammo BaseForm. If a reference is passed, its BaseForm will be modified. The nameTypeToGet arg allows specifying which type of name to retrieve from the ammo: <pre> FullName = 0, ShortName = 1, AbbreviationName = 2 </pre> | Functions (ShowOff NVSE); Inventory Functions; Name Functions
GetAmmoProjectile | JIP | GetAmmoProjectile(ammo:ref) -> projectile:ref | Returns an ammo type's projectile. | Functions_(JIP); Ammo Functions (JIP); Projectile Functions (JIP); Projectile Functions; Ammo Functions; Weapon Functions
GetAmmoSpeed | NVSE | reference.GetAmmoSpeed(Ammo:form?) -> float | Returns the speed (velocity) of the specified ammo or calling reference. | Functions_(NVSE); Condition Functions; Ammo Functions; Weapon Functions
GetAmmoTraitNumeric | JIP | GetAmmoTraitNumeric(ammo:ref, traitID:int) -> traitValue:float | Returns the value of an ammo type's numeric trait (determined by <i>traitID</i>). | Functions_(JIP); Ammo Functions (JIP); Ammo Functions; Weapon Functions
GetAngle | GECK1 | [Object].GetAngle(Axis:char) -> float | Returns the angle ('in degrees') of the calling object relative to the world on the specified axis (X, Y, or Z). | Functions (GECK); Movement Functions; Condition Functions; Functions (FO3)
GetAngleEx | JIP | reference.GetAngleEx(resAngleX:ScriptVar, resAngleY:ScriptVar, resAngleZ:ScriptVar, getLocal:0/1?) | Outputs the XYZ rotation angles ('in degrees') of the calling object reference into the 3 specified 'script variables'. *By default, the function outputs the object's 'extrinsic' (global) rotation, unless the 4th, optional argument, '<i>getLocal</i>', is non-zero, on which case it outputs the object's 'intrinsic' (local) rotation. | Functions (JIP); Misc Reference Functions (JIP); Movement Functions
GetAnglesBetweenPoints | JIP | GetAnglesBetweenPoints(x0:float, y0:float, z0:float, x1:float, y1:float, z1:float, resAngX:ScriptVar, resAngZ:ScriptVar) | Calculates the X (pitch) and Z (yaw) angles between two given 3D points in space, and outputs the result angles into the 2 specified 'Script Variables'. | Functions (JIP); Miscellaneous Functions (JIP)
GetAngularVelocity | JIP | reference.GetAngularVelocity(nodeName:string, axis:X/Y/Z) -> velocity:float (alias: GetAngVel) | Returns the angular velocity, on the specified 'Axis', of the collision object (if any) attached to the specified node in the calling reference's loaded 3D model. *The velocity is in units of '2&pi; rad/s' (essentially, 'revolutions/second'). | Functions (JIP); Misc Reference Functions (JIP); Movement Functions
GetAngularVelocityAlt | JIP | reference.GetAngularVelocityAlt(nodeName:string, resX:ScriptVar, resY:ScriptVar, resZ:ScriptVar, getGlobal:0/1?) -> success:0/1 | Returns the angular velocity of each of the 3 X/Y/Z axes, of the collision object (if any) attached to the specified node in the calling reference's loaded 3D model. The result XYZ are placed into the 3 specified 'Script Variables'. *By default, the function returns the velocities relative to the object's 'local axes', unless the 'optional' 5th argument, '<i>getGlobal</i>', is non-zero, on which case the velocities are relative to the world, 'global axes'. *The velocity is in units of '2&pi; rad/s' (essentially, 'revolutions/second'). *If the 3D model does not have the specified node, or the node does not have a mobile collision object, the function returns 0, and the script variables are unchanged. | Functions (JIP); Misc Reference Functions (JIP); Movement Functions
GetAnimAction |  | GetAnimAction() |  | Functions (GECK); Animation Functions; Condition Functions; Functions (FO3)
GetAnimationAttributes | kNVSE | reference.GetAnimationAttributes(anim sequence path:string) (alias: GetAnimAttrs) | Retrieves attributes and information for the specified animation sequence as a String Map. When called on an actor, retrieves additional data such as the state, current offset, calculated time relative to the actor if it has been played on him. | Functions (kNVSE); Animation Functions
GetAnimationsByAnimGroup | kNVSE | reference.GetAnimationsByAnimGroup(anim group id:animation group) | Returns the animation paths, including variants, that would be played if the specified animation group is played on the actor as an Array. The array is sorted where animations with higher priority are at the start of the array, but bear in mind kNVSE condition scripts can skip animations with higher priority, instead playing animations with a lower priority. This function also takes into account any kNVSE overridden animations. | Functions (kNVSE); Animation Functions
GetAnimCurrentTime | kNVSE | reference.GetAnimCurrentTime(sAnimPath:string) | This function retrieves the current time of a specified animation. It is functionally equivalent to accessing the calculatedTime field found in the GetAnimationAttributes function. Alternatively, it can be considered as the sum of the offset field in the same function and the value obtained from GetGlobalAnimTime. | Functions (kNVSE); Animation Functions
GetAnimObjectIdle | LU | GetAnimObjectIdle(animObject:form) -> idleAnim:ref (alias: GetANIOIdle) | Return the 'Idle Animation' of the specified 'Anim Object'. | Functions (JIP); Miscellaneous Functions (JIP); Animation Functions
GetAnimSequenceFrequency | JIP | reference.GetAnimSequenceFrequency(sequenceName:string) -> frequency:float (alias: GetAnimSeqFreq) | Returns the 'Frequency' of the specified 'NiControllerSequence' in the calling reference's loaded 3D model. | Functions (JIP); Misc Reference Functions (JIP); Animation Functions; Model Functions; File Functions
GetArmorAudioTemplate | JIP | GetArmorAudioTemplate(armorForm:ref) -> audioTemplate:ref | Returns the 'Armor Form' used as an 'Audio Template' by the specified 'Armor Form'. | Functions (JIP); Armor Functions (JIP); Armor Functions
GetArmorClass | LU | reference.GetArmorClass(armor:form?) -> armorClass:int (alias: GetAC) | Returns the armor class of the specified 'Armor' form or, if omitted, of the UpperBody armor of the calling actor. | Functions (JIP); Armor Functions (JIP); Armor Functions; Condition_Functions
GetArmorDT | NVSE | reference.GetArmorDT(Armor:form?) -> int | Returns the Damage Threshold of the specified armor base form, or a calling reference | Functions_(NVSE); Armor Functions; Condition Functions
GetArmorEffectiveDR | JIP | reference.GetArmorEffectiveDR() -> effectiveDR:float | Returns the <i>effective</i> 'Damage Resistance' (taking into account item condition) of an armor reference, which may be either an Inventory Reference, or an armor item placed in the world. | Functions (JIP); Inventory Functions (JIP); Inventory Functions; Inventory Reference Functions; Armor Functions (JIP); Armor Functions
GetArmorEffectiveDT | JIP | reference.GetArmorEffectiveDT() -> effectiveDT:float | Returns the <i>effective</i> 'Damage Threshold' (taking into account item condition) of an armor reference, which may be either an Inventory Reference, or an armor item placed in the world. | Functions (JIP); Inventory Functions (JIP); Inventory Functions; Inventory Reference Functions; Armor Functions (JIP); Armor Functions
GetArmorRating | GECK1 | [Actor].GetArmorRating() -> int | Returns the total damage resistance of the armor the actor currently has equipped. | Functions (GECK); Condition Functions; Actor Functions; Armor Functions; Functions (FO3)
GetArmorRatingUpperBody | GECK1 | Actor.GetArmorRatingUpperBody() -> int | Returns weight class of a calling actor's equipped armor. Return values are as follows:<pre> 0: None 1: Light armor 2: Medium or Heavy armor</pre> | Functions (GECK); Actor Functions; Armor Functions; Functions (FO3)
GetArmorRCT | JIP | GetArmorRCT(armor:ref) -> RCTPath:string_var | Returns the 'Ragdoll Constraint Template' RDT file path, of the specified 'Armor' form. | Functions (JIP); Armor Functions (JIP); Armor Functions
GetArmourPenetrated | JIP | reference.GetArmourPenetrated() -> hitPenetrated:1/0 | When called from a 'OnHit'/'OnHitWith' script block (or the equivalent NVSE event handlers), or from a 'ScriptEffectStart' block in an 'Ammo' form 'Impact Script', returns whether the total damage delivered by the current hit had penetrated the actor's 'DT', or was fully-absorbed by it. Note that the maximum damage reduction, after deducting DT/DR is, by default, 80% of the total damage, which effectively means that even if a hit was fully-absorbed, a certain fraction of the damage will always pass through. | Functions (JIP); Actor Functions (JIP); Actor Functions
GetArrayVariable | NVSE | ref.GetArrayVariable(VarName:string, Parent:Object?) -> array (alias: GetArrayVar) | Returns the array that corresponds to the array variable specified by name for the calling reference or specified scriptable object / quest. | Functions_(NVSE); Script Functions; Array Functions
GetAshPileSource | JIP | reference.GetAshPileSource() -> pileSource:ref | When called on an 'Ash/Goo Pile', returns the actor it originated from. | Functions (JIP); Actor Functions (JIP); Actor_Functions
GetAttackDamage | FOSE1 | [[reference]].GetAttackDamage([[BaseForm]]:) -> int (alias: GetDamage) | Returns the attack damage of the specified Base Form. If no Base Form is specified, will instead get the attack damage of the calling reference's Base Form. | Functions_(FOSE); Functions_(NVSE); Weapon Functions; Condition Functions; Functions (FO3)
GetAttacked | GECK1 | [Actor, Activator].GetAttacked() -> bool | Returns 1 if the calling actor has been attacked. This value is cleared when the actor drops out of combat. | Functions (GECK); Combat Functions; Condition Functions; Actor Functions; Functions (FO3)
GetAutoMove | JIP | GetAutoMove() -> autoMove:0/1 | Returns whether 'Auto Move' is currently toggled. | Functions_(JIP); Miscellaneous Functions (JIP); Condition_Functions; Functions_(Command Extender); Functions (FO3)
